Temp (0C),Sw.Freq.,MN,MP,M_DRVRN,M_DRVRP,RL(Ohms),No. Phases,Pass/Fail,Eff1(%),HSLoss(W),LSLoss(W),Pin(W),Pout(W),VDD(W),Closs(W),Lloss(W),,,,
27,1.00E+08,16,42,3,8,0.5,8,fail,78.79,1.93E-01,1.08E-01,2.18,1.719,1.45E-03,7.10E-06,1.10E-01,,,(um),
27,1.00E+08,19,50,4,10,0.5,8,fail,80.51,1.70E-01,9.56E-02,2.229,1.796,1.81E-03,4.74E-06,1.15E-01,,MP,5040,5mm-25mm
27,1.00E+08,22,58,5,12,0.5,8,fail,81.74,1.53E-01,8.55E-02,2.267,1.855,2.21E-03,1.06E-06,1.19E-01,,,12000,
27,1.00E+08,25,67,5,13,0.5,8,fail,82.73,1.39E-01,7.77E-02,2.3,1.905,2.55E-03,7.20E-06,1.22E-01,,,24960,
27,1.00E+08,28,75,6,15,0.5,8,fail,83.42,1.30E-01,7.10E-02,2.325,1.942,3.03E-03,1.15E-05,1.24E-01,,M_DRVRP,960,
27,1.00E+08,31,83,7,17,0.5,8,fail,83.95,1.23E-01,6.48E-02,2.347,1.973,3.53E-03,1.42E-05,1.26E-01,,,2400,
27,1.00E+08,34,92,7,18,0.5,8,fail,84.41,1.17E-01,6.00E-02,2.368,2.002,3.95E-03,1.95E-05,1.28E-01,,,5040,
27,1.00E+08,38,100,8,20,0.5,8,fail,84.79,1.14E-01,5.47E-02,2.387,2.028,4.55E-03,1.95E-05,1.30E-01,,IL= 166mA-100mA,,
27,1.00E+08,41,108,9,22,0.5,8,pass,85.05,1.09E-01,5.03E-02,2.402,2.047,5.06E-03,1.84E-05,1.31E-01,,,,
27,1.00E+08,44,117,9,23,0.5,8,pass,85.28,1.06E-01,4.71E-02,2.417,2.066,5.48E-03,2.10E-05,1.32E-01,,,,
27,1.00E+08,47,125,10,25,0.5,8,pass,85.45,1.04E-01,4.43E-02,2.43,2.082,5.99E-03,2.21E-05,1.33E-01,,,,
27,1.00E+08,50,133,11,27,0.5,8,pass,85.56,1.02E-01,4.16E-02,2.443,2.096,6.51E-03,2.18E-05,1.34E-01,,,,
27,1.00E+08,53,142,11,28,0.5,8,pass,85.67,1.00E-01,3.96E-02,2.455,2.109,6.92E-03,2.24E-05,1.35E-01,,,,
27,1.00E+08,56,150,12,30,0.5,8,pass,85.73,1.00E-01,3.80E-02,2.466,2.12,7.42E-03,2.10E-05,1.36E-01,,,,
27,1.00E+08,59,158,13,32,0.5,8,pass,85.76,9.90E-02,3.63E-02,2.477,2.131,7.90E-03,2.23E-05,1.36E-01,,,,
27,1.00E+08,62,167,13,33,0.5,8,pass,85.78,9.89E-02,3.52E-02,2.488,2.141,8.25E-03,2.05E-05,1.37E-01,,,,
27,1.00E+08,66,175,14,35,0.5,8,pass,85.77,9.91E-02,3.39E-02,2.498,2.15,8.81E-03,2.05E-05,1.38E-01,,,,
27,1.00E+08,69,183,15,37,0.5,8,pass,85.77,9.87E-02,3.30E-02,2.507,2.158,9.26E-03,2.07E-05,1.38E-01,,,,
