VDD,Ib,Lg1,Lg2,Lrf,Wcf,Wg1,Wg2,temperature,Pass/Fail,ACM_G,SR,CMRR,NOISE,PSRR,PhaseMargin_PM,BandWidth
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,1.50E-05,5.00E-06,5.00E-06,27,fail,50.76,3.25E+07,72.33,6.01E-05,-83.88,40.09,4.65E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,1.50E-05,5.00E-06,5.00E-06,125,fail,49.86,3.36E+07,69.06,7.58E-05,-83.96,40.29,3.95E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,1.50E-05,5.00E-06,1.00E-05,27,fail,51.13,3.17E+07,61.23,6.01E-05,-74.31,40.34,4.23E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,1.50E-05,5.00E-06,1.00E-05,125,fail,50.07,3.29E+07,58.89,7.58E-05,-74.02,40.55,3.65E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,1.50E-05,5.00E-06,1.50E-05,27,fail,51.28,3.08E+07,58.48,6.01E-05,-71.69,39.66,3.93E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,1.50E-05,5.00E-06,1.50E-05,125,fail,50.13,3.21E+07,56.25,7.59E-05,-71.2,40.06,3.43E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,1.50E-05,1.00E-05,5.00E-06,27,fail,51.34,3.21E+07,73.16,5.32E-05,-85.43,33.22,5.01E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,1.50E-05,1.00E-05,5.00E-06,125,fail,50.41,3.32E+07,69.61,6.79E-05,-86.27,33.37,4.23E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,1.50E-05,1.00E-05,1.00E-05,27,fail,51.72,3.13E+07,62.12,5.32E-05,-76,33.9,4.57E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,1.50E-05,1.00E-05,1.00E-05,125,fail,50.63,3.25E+07,59.45,6.79E-05,-76.25,34.14,3.91E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,1.50E-05,1.00E-05,1.50E-05,27,fail,51.87,3.05E+07,59.4,5.32E-05,-73.42,33.71,4.24E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,1.50E-05,1.00E-05,1.50E-05,125,fail,50.69,3.20E+07,56.84,6.80E-05,-73.42,34.17,3.67E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,1.50E-05,1.50E-05,5.00E-06,27,fail,51.57,3.18E+07,73.47,5.06E-05,-86.28,28.29,5.18E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,1.50E-05,1.50E-05,5.00E-06,125,fail,50.64,3.29E+07,69.73,6.49E-05,-87.68,28.51,4.37E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,1.50E-05,1.50E-05,1.00E-05,27,fail,51.95,3.10E+07,62.45,5.06E-05,-77.03,29.26,4.73E+05
