VDD,Ib,Lg1,Lg2,Lrf,Wcf,Wg1,Wg2,temperature,Pass/Fail,ACM_G,SR,CMRR,NOISE,PSRR,PhaseMargin_PM,BandWidth,Pass/Fail,Percentage
2,5E-06,2.8E-07,2.8E-07,5E-06,1.5E-05,5E-06,5E-06,27,Fail,50.76,32500000,72.33,6.01E-05,-83.88,40.09,465000,0,30.93171296
2,5E-06,2.8E-07,2.8E-07,5E-06,1.5E-05,5E-06,5E-06,125,Fail,49.86,33600000,69.06,7.58E-05,-83.96,40.29,395000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,1.5E-05,5E-06,1E-05,27,Fail,51.13,31700000,61.23,6.01E-05,-74.31,40.34,423000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,1.5E-05,5E-06,1E-05,125,Fail,50.07,32900000,58.89,7.58E-05,-74.02,40.55,365000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,1.5E-05,5E-06,1.5E-05,27,Fail,51.28,30800000,58.48,6.01E-05,-71.69,39.66,393000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,1.5E-05,5E-06,1.5E-05,125,Fail,50.13,32100000,56.25,7.59E-05,-71.2,40.06,343000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,1.5E-05,1E-05,5E-06,27,Fail,51.34,32100000,73.16,5.32E-05,-85.43,33.22,501000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,1.5E-05,1E-05,5E-06,125,Fail,50.41,33200000,69.61,6.79E-05,-86.27,33.37,423000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,1.5E-05,1E-05,1E-05,27,Fail,51.72,31300000,62.12,5.32E-05,-76,33.9,457000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,1.5E-05,1E-05,1E-05,125,Fail,50.63,32500000,59.45,6.79E-05,-76.25,34.14,391000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,1.5E-05,1E-05,1.5E-05,27,Fail,51.87,30500000,59.4,5.32E-05,-73.42,33.71,424000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,1.5E-05,1E-05,1.5E-05,125,Fail,50.69,32000000,56.84,6.8E-05,-73.42,34.17,367000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,1.5E-05,1.5E-05,5E-06,27,Fail,51.57,31800000,73.47,5.06E-05,-86.28,28.29,518000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,1.5E-05,1.5E-05,5E-06,125,Fail,50.64,32900000,69.73,6.49E-05,-87.68,28.51,437000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,1.5E-05,1.5E-05,1E-05,27,Fail,51.95,31000000,62.45,5.06E-05,-77.03,29.26,473000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,1.5E-05,1.5E-05,1E-05,125,Fail,50.87,32200000,59.56,6.49E-05,-77.74,29.6,403000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,1.5E-05,1.5E-05,1.5E-05,27,Fail,52.11,30300000,59.74,5.06E-05,-74.48,29.4,439000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,1.5E-05,1.5E-05,1.5E-05,125,Fail,50.93,32100000,56.97,6.5E-05,-74.91,29.97,378000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,2.5E-05,5E-06,5E-06,27,Pass,50.76,25600000,72.33,6.02E-05,-83.88,62.65,182000,1,
2,5E-06,2.8E-07,2.8E-07,5E-06,2.5E-05,5E-06,5E-06,125,Fail,49.86,26400000,69.06,7.61E-05,-84.08,61.96,155000,0,
